name,login,email
rockchip-linux,rockchip-linux,
ThemeHouse - XenForo,ThemeHouse-XF,hello@themehouse.com
Inexor's Obsolete Stuff. See https://github.com/inexorgame instead.,inexorgame-obsolete,
Makeomatic,makeomatic,getstarted@makeomatic.ca
JioCloudCompute,JioCloudCompute,
MinimalOS-AOSP,MinimalOS-AOSP,
infrajs,infrajs,
Useful Tutorials,gdsellerTw,
Technet-24,Technet-24,
elimu.ai Community,elimu-ai,info@elimu.ai
KerisonGit,KerisonGit,
RainerJava,RainerJava,
Acumatica,Acumatica,
TeslaROM-Devices,Tesla-M-Devices,
DASH,dash-orlando,developers@dash-orlando.com
Opening Reproducible Research,o2r-project,daniel.nuest@uni-muenster.de
Liege Hackerspace,LgHS,ping@lghs.be
cubiche,cubiche,
latin-ocr,latin-ocr,
OneOaaS,OneOaaS,support#oneoaas.com (replace # to @)
AOSPB,AOSPB,
Eye Division Ltd.,eye-division,
Athenolabs,Athenolabs,
DiSARM Platform,disarm-platform,info@disarm.io
Type-of-Tool,Type-of-Tool,
Nashville Front End Engineering Spring 2016,TIY-TN-FEE-2016-spring,
Majexa,majexa,
DeLaSalleUniversity-Manila-DISMATH-t216,DeLaSalleUniversity-Manila-DISMATH-t216,
Halliburton-Landmark,Halliburton-Landmark,
BraveCamp,BraveCamp,info@braveinitiatives.com
cornorR,cornorR,
top-projects,top-projects,
awesome-python,awesome-python,
OSS Projects @ jillix,jxoss,bizauionica@gmail.com
AI-OPT,AI-OPT,
Blue Obelisk,BlueObelisk,
ricelang,ricelang,
jwtters,jwtters,497100283@qq.com
OpenSwitchNOS,OpenSwitchNOS,
GoooQ,GoooQ,
Adfinis Forks,adfinis-forks,
aixoss,aixoss,
desertedscorpion,desertedscorpion,
"deprecated turf modules: do not use or reference, for redirects only",turf-junkyard,
Cisco Innovation Edge,cisco-ie,cisco-ie@cisco.com
tcp cloud,tcpcloud,cloud@tcpcloud.eu
Flow,flow-io,
Pelias,pelias,team@pelias.io
Collects,collects,
Kitsilano Software,kitsilanosoftware,
Custom-Elements,Custom-Elements,
Keymetrics,keymetrics,contact@keymetrics.io
htapiagroup,htapiagroup,
alexisWTD,alexisWTD,
alex-components,alex-components,
chitanka,chitanka,contact@chitanka.info
DoneJS,donejs,contact@bitovi.com
zhigao,zhigao,
Frdomdev,Frdomdev,
Ritter Insurance Marketing,ritterim,
siem-factory,siem-factory,
Immanent Grove,imma,
Swift-2016,Swift-2016,swift@swift.xyz
evove.tech,evovetech,layne@evove.tech
IHCLab Classroom,ihclab,
virgilfork,virgilfork,
ThingsElements provided by hatiolab.com,ThingsElements,heartyoh@hatiolab.com
mswin-pentest,mswin-pentest,
TwistedProject,TwistedProject,
nss-day-cohort-14,nss-day-cohort-14,
littleman.co,littlemanco,hello@littleman.co
Nashville Software School Evening Cohort 04,nss-evening-cohort-04,
Seeed Document,SeeedDocument,
ucsb-cs56-pconrad,ucsb-cs56-pconrad,
JangoOs,JangoOs,
R Epidemics Consortium,reconhub,
UBER ROMS,UBERROMS,
ttsJavaScriptAppDevelopmentSummer16,ttsJavaScriptAppDevelopmentSummer16,
SV Hawks,svhawks,
IV Dimension Studios,ivdstudios,support@ivdstudios.com
cool-lab,cool-lab,
forks-badal,forks-badal,
s-wiki,s-wiki,
ws-php,ws-php,
8600,8600,my@puge.me
Flutterwave,Flutterwave,
4kd,4kd,
WhereDoIVote Scrapers,wdiv-scrapers,
Matemática Especial I - UERJ - 2016,mat-esp-2016,
SoftwareWorks,SoftwareWorks,
BigDataTechOnGitHub,BigDataTechOnGitHub,
Alpesis Fork,alpesis-fork,
Tango-Delta,Tango-Delta,
ForCollectMediaBrowser,ForCollectMediaBrowser,
HYPED,Hyp-ed,
UWPortalSDK,UWPortalSDK,
TestBrother,TestBrother,
tiy-raleigh-java,tiy-raleigh-java,
RedCastor,RedCastor,team@redcastor.io
edmeta,edmeta,
