repo,owner,url,forks,stars
rails,rails,https://api.github.com/repos/rails/rails,17500,43548
jekyll,jekyll,https://api.github.com/repos/jekyll/jekyll,8304,38116
discourse,discourse,https://api.github.com/repos/discourse/discourse,6471,28557
fastlane,fastlane,https://api.github.com/repos/fastlane/fastlane,3961,26011
awesome-awesomeness,bayandin,https://api.github.com/repos/bayandin/awesome-awesomeness,3060,24500
gitlabhq,gitlabhq,https://api.github.com/repos/gitlabhq/gitlabhq,5572,21887
huginn,huginn,https://api.github.com/repos/huginn/huginn,2346,21655
devdocs,freeCodeCamp,https://api.github.com/repos/freeCodeCamp/devdocs,1364,20878
devise,plataformatec,https://api.github.com/repos/plataformatec/devise,4759,19987
vagrant,hashicorp,https://api.github.com/repos/hashicorp/vagrant,3737,18637
brew,Homebrew,https://api.github.com/repos/Homebrew/brew,4068,18200
mastodon,tootsuite,https://api.github.com/repos/tootsuite/mastodon,3160,18067
metasploit-framework,rapid7,https://api.github.com/repos/rapid7/metasploit-framework,8341,16945
ruby,ruby,https://api.github.com/repos/ruby/ruby,4253,15939
homebrew-cask,Homebrew,https://api.github.com/repos/Homebrew/homebrew-cask,7357,15551
engineering-blogs,kilimchoi,https://api.github.com/repos/kilimchoi/engineering-blogs,1796,15470
bootstrap-sass,twbs,https://api.github.com/repos/twbs/bootstrap-sass,3549,12783
diaspora,diaspora,https://api.github.com/repos/diaspora/diaspora,2907,12246
CocoaPods,CocoaPods,https://api.github.com/repos/CocoaPods/CocoaPods,2108,11726
capistrano,capistrano,https://api.github.com/repos/capistrano/capistrano,1711,11084
sinatra,sinatra,https://api.github.com/repos/sinatra/sinatra,1900,10603
logstash,elastic,https://api.github.com/repos/elastic/logstash,2780,10331
rubocop,rubocop-hq,https://api.github.com/repos/rubocop-hq/rubocop,2134,10119
gollum,gollum,https://api.github.com/repos/gollum/gollum,1474,10050
spree,spree,https://api.github.com/repos/spree/spree,4316,9830
sidekiq,mperham,https://api.github.com/repos/mperham/sidekiq,1665,9680
dev.to,thepracticaldev,https://api.github.com/repos/thepracticaldev/dev.to,1167,9654
octopress,imathis,https://api.github.com/repos/imathis/octopress,2858,9512
fpm,jordansissel,https://api.github.com/repos/jordansissel/fpm,917,9187
tmuxinator,tmuxinator,https://api.github.com/repos/tmuxinator/tmuxinator,552,9118
paperclip,thoughtbot,https://api.github.com/repos/thoughtbot/paperclip,2064,9056
postal,atech,https://api.github.com/repos/atech/postal,534,9021
grape,ruby-grape,https://api.github.com/repos/ruby-grape/grape,1090,8868
bourbon,thoughtbot,https://api.github.com/repos/thoughtbot/bourbon,916,8855
capybara,teamcapybara,https://api.github.com/repos/teamcapybara/capybara,1291,8841
resque,resque,https://api.github.com/repos/resque/resque,1573,8535
activeadmin,activeadmin,https://api.github.com/repos/activeadmin/activeadmin,3008,8505
